Date,Location,Sentiment
2020-07-06,Mumbai,positive
2020-07-06,Mumbai,positive
2020-07-06,Other,positive
2020-07-06,Mumbai,positive
2020-07-06,Other,neutral
2020-07-06,Other,negative
2020-07-06,Other,neutral
2020-07-06,Other,neutral
2020-07-06,Other,positive
2020-07-06,Other,positive
2020-07-06,Bengaluru,positive
2020-07-06,Bengaluru,positive
2020-07-06,Mumbai,positive
2020-07-06,Mumbai,positive
2020-07-06,Mumbai,negative
2020-07-06,Other,negative
2020-07-05,Mumbai,positive
2020-07-05,Mumbai,positive
2020-07-05,Mumbai,positive
2020-07-05,Mumbai,neutral
2020-07-05,Mumbai,positive
2020-07-05,Other,positive
2020-07-05,Mumbai,neutral
2020-07-05,Mumbai,positive
2020-07-05,Mumbai,positive
